百思味黄焖鸡米饭（王隘路店）: 18989301376
大理寺云南过桥米线（体育场路店）: 15728032122
新日月龙虾（新日月旗下品牌）: 18658285055
余姚梁弄大糕: 15867595651
梁弄大糕（崇寿店）: 15824231878
N多寿司（大观园店）: 18667896109
润仟祥黄焖鸡米饭（新都汇店）: 13736043437
林记烤鱼大王（周巷店）: 15888150050
重庆鸡公煲（凤洋二路店）: 13646630768
一番一竜（印象城店）: 18957477361
牛味堂潮汕牛肉火锅（迪信通店）: 15757801963
谢家食堂（跃龙二店）: 13685879595
蜀锦香厕所串串: 18667823939
椿林麻辣烫（新浦店）: 13637999600
素匠泰茶（东部银泰城店）: 18967848808
砂锅（江东店）: 15058285868117
甜不甜（天九街店）: 13646637175
麦风牛排自助餐厅（高桥恒一店）: 18658281993
大通冰室（天一店）: 13685853910
大保健HealthTea（东门银泰店）: 18891998039
童童黄焖鸡米饭: 18668251023
百思味黄焖鸡米饭: 18658484336
有渔来了·衢州农家菜（财富广场店）: 18858236136
喔爸韩国料理（新大路店）: 15824511780
意大利餐厅（宏泰广场店）: 130819929921861
喔爸韩国美食（万达江北店）: 18868959258
LeOui络味: 18758811904
N多寿司（南雷路店）: 13685863708
鹿角巷THEALLEY（万达金街店）: 13656889545
茶丸家: 18989315577
卷卷爱寿司（银亿都会店）: 15867871586
三毛烤鱼坊: 18989312556&15924340329
阿胖烧烤·烤鱼: 15824521122
陕西美食-裤带面（王隘路店）: 18758377988&18268588686
椰子鸡（水街店）: 0574-28886188
御喜玛蛋糕: 0574-27890067&18606603790
初客牛排（金沙奥莱店）: 0574-56634128
渝盛楼自助火锅烧烤: 0574-62122912
自由天天（南雷路店）: 0574-62737977
咖藤意大利花园餐厅（东部新城银泰店）: 0574-55680633
金海开元名都大酒店名爵咖啡厅: 0574-25599222
杨铭宇黄焖鸡米饭: 0574-62721201
海绵贝比烘培坊: 0574-62780260&13958366449
马氏黄焖鸡米饭（健康路店）: 0574-22678485
牛太郎: 0574-23728577
巴邑火锅（五彩城店）: 0574-62569988
暹罗蕉叶(银泰城店): 0574-55867788
正新鸡排（利时广场店）: 0574-55845900
哆吉客: 0574-62700139
余姚宾馆: 0574-62708888
韩国馆: 0574-62735377
米苏烘焙: 0574-55663399
金胡椒泰国餐厅（来福士广场店）: 0574-27621177&27621717
宁波阳光豪生大酒店豪生咖啡厅: 0574-55719999
英伦时光面包烘焙（长河店）: 0574-23634224
哈礼羊火锅（原小肥羊余姚店）: 0574-62683777
拾笺（轻纺城店）: 0574-28862266
观海卫胖子烤鱼: 0574-23689556
来一只烤全羊: 0574-27883397&13777226221
烤鱼大王: 0574-58984335&15924365205
烧烤（庄市店）: 0574-56799727
陈家酸汤鱼锅（胜山路店）: 0574-62352200
焰羊天火锅（北仑店）: 0574-26883008
派乐汉堡（利时广场店）: 0574-55840880
波特曼（阳明东路店）: 0574-62621870
百思味黄焖鸡米饭（庄桥店）: 0574-55842997&15958271446
老陈粥铺（胜山西路店）: 0574-62509777
城市牧羊·音乐烤吧砂锅粥: 0574-56164598&18105742191
老渔夫蟹煲（鄞州万达店）: 0574-55848728&13957408005
V5香锅烤鱼（银泰城店）: 0574-55867778
瑞伯克牛排自助餐厅（东部银泰城店）: 0574-55680577
云石林过桥米线（初六食仓店）: 0574-55867799
优卡甜心（马渚店）: 0574-62462539&18857461688
咭味哆（泗门店）: 0574-22671007
宁波富力索菲特乐百事全日制餐厅: 0574-28891400
鄞州天港禧悦酒店浩全日餐厅: 0574-28895377
